from_asset,to_asset,connection,dependency_score
77e10418-2b0f-45f2-afa7-2d5e089a96a5,59f871b5-87af-46f6-94ef-2710bd45c42c,77e10418-2b0f-45f2-afa7-2d5e089a96a5-->59f871b5-87af-46f6-94ef-2710bd45c42c,3
7e36b821-5094-4421-8784-4c97a03e8a06,5a6240a0-b3ba-42bf-9747-2823916b8c50,7e36b821-5094-4421-8784-4c97a03e8a06-->5a6240a0-b3ba-42bf-9747-2823916b8c50,3
f5814caf-42ea-4ba9-a3fd-acdd1895cde0,60553246-976f-4c85-8b41-1899d156dca1,f5814caf-42ea-4ba9-a3fd-acdd1895cde0-->60553246-976f-4c85-8b41-1899d156dca1,3
77e10418-2b0f-45f2-afa7-2d5e089a96a5,6ab9409c-d364-4070-abfd-da74304c1690,77e10418-2b0f-45f2-afa7-2d5e089a96a5-->6ab9409c-d364-4070-abfd-da74304c1690,3
db010aeb-3f99-4a88-8db4-9df72e29efd0,6c00d330-13f9-4c77-806c-e05f7081cf78,db010aeb-3f99-4a88-8db4-9df72e29efd0-->6c00d330-13f9-4c77-806c-e05f7081cf78,3
77e10418-2b0f-45f2-afa7-2d5e089a96a5,7200f57e-70d0-48fa-81f8-eae03f39177f,77e10418-2b0f-45f2-afa7-2d5e089a96a5-->7200f57e-70d0-48fa-81f8-eae03f39177f,3
db010aeb-3f99-4a88-8db4-9df72e29efd0,740a8ddf-9b41-44b4-aa12-f5d8be8d185c,db010aeb-3f99-4a88-8db4-9df72e29efd0-->740a8ddf-9b41-44b4-aa12-f5d8be8d185c,3
77e10418-2b0f-45f2-afa7-2d5e089a96a5,7770db54-7018-4429-8eca-c8a4c44a339a,77e10418-2b0f-45f2-afa7-2d5e089a96a5-->7770db54-7018-4429-8eca-c8a4c44a339a,3
f5814caf-42ea-4ba9-a3fd-acdd1895cde0,777bdee2-cff2-4f3a-9b9b-9735b516bfdb,f5814caf-42ea-4ba9-a3fd-acdd1895cde0-->777bdee2-cff2-4f3a-9b9b-9735b516bfdb,3
db010aeb-3f99-4a88-8db4-9df72e29efd0,79f22099-6a0d-400d-a2ff-943815d445c6,db010aeb-3f99-4a88-8db4-9df72e29efd0-->79f22099-6a0d-400d-a2ff-943815d445c6,3
77e10418-2b0f-45f2-afa7-2d5e089a96a5,7c9ecacc-95ec-4600-8e95-e6da6990347f,77e10418-2b0f-45f2-afa7-2d5e089a96a5-->7c9ecacc-95ec-4600-8e95-e6da6990347f,3
f5814caf-42ea-4ba9-a3fd-acdd1895cde0,801830f9-af46-4da1-a78d-51a269cec391,f5814caf-42ea-4ba9-a3fd-acdd1895cde0-->801830f9-af46-4da1-a78d-51a269cec391,3
db010aeb-3f99-4a88-8db4-9df72e29efd0,81701aa3-616b-4941-b36b-6a1b268d7208,db010aeb-3f99-4a88-8db4-9df72e29efd0-->81701aa3-616b-4941-b36b-6a1b268d7208,3
f5814caf-42ea-4ba9-a3fd-acdd1895cde0,82c0b833-73fe-4434-8d64-6c6d3bf35f7d,f5814caf-42ea-4ba9-a3fd-acdd1895cde0-->82c0b833-73fe-4434-8d64-6c6d3bf35f7d,3
db010aeb-3f99-4a88-8db4-9df72e29efd0,8679e655-1a03-469b-9cd1-fc9be1e15985,db010aeb-3f99-4a88-8db4-9df72e29efd0-->8679e655-1a03-469b-9cd1-fc9be1e15985,3
77e10418-2b0f-45f2-afa7-2d5e089a96a5,89245e3c-967e-4897-baad-225c2a22f60e,77e10418-2b0f-45f2-afa7-2d5e089a96a5-->89245e3c-967e-4897-baad-225c2a22f60e,3
db010aeb-3f99-4a88-8db4-9df72e29efd0,893dd5f3-4f00-414d-94eb-9c356a538175,db010aeb-3f99-4a88-8db4-9df72e29efd0-->893dd5f3-4f00-414d-94eb-9c356a538175,3
f5814caf-42ea-4ba9-a3fd-acdd1895cde0,8effc749-58e2-4e2b-a5e7-0441b1bad4de,f5814caf-42ea-4ba9-a3fd-acdd1895cde0-->8effc749-58e2-4e2b-a5e7-0441b1bad4de,3
f5814caf-42ea-4ba9-a3fd-acdd1895cde0,9394e1b8-40cc-430e-99ea-d30eb2faccf0,f5814caf-42ea-4ba9-a3fd-acdd1895cde0-->9394e1b8-40cc-430e-99ea-d30eb2faccf0,3
db010aeb-3f99-4a88-8db4-9df72e29efd0,953d6663-c7e4-429e-9a9f-81cc3261de2d,db010aeb-3f99-4a88-8db4-9df72e29efd0-->953d6663-c7e4-429e-9a9f-81cc3261de2d,3
f5814caf-42ea-4ba9-a3fd-acdd1895cde0,958df9e6-8215-43e5-9a85-a8b153f744f9,f5814caf-42ea-4ba9-a3fd-acdd1895cde0-->958df9e6-8215-43e5-9a85-a8b153f744f9,3
77e10418-2b0f-45f2-afa7-2d5e089a96a5,98bf3ec7-370f-4835-80fe-c1b91308c629,77e10418-2b0f-45f2-afa7-2d5e089a96a5-->98bf3ec7-370f-4835-80fe-c1b91308c629,3
77e10418-2b0f-45f2-afa7-2d5e089a96a5,9afce481-237c-4320-aa10-26ebc9bef05f,77e10418-2b0f-45f2-afa7-2d5e089a96a5-->9afce481-237c-4320-aa10-26ebc9bef05f,3
db010aeb-3f99-4a88-8db4-9df72e29efd0,9e5a152b-0c36-4b37-95e6-108c41f09096,db010aeb-3f99-4a88-8db4-9df72e29efd0-->9e5a152b-0c36-4b37-95e6-108c41f09096,3
77e10418-2b0f-45f2-afa7-2d5e089a96a5,9ebc65bf-b997-48e0-ab74-299cb493317b,77e10418-2b0f-45f2-afa7-2d5e089a96a5-->9ebc65bf-b997-48e0-ab74-299cb493317b,3
77e10418-2b0f-45f2-afa7-2d5e089a96a5,9f8e407a-996d-4f0e-925a-fb70a6f35d29,77e10418-2b0f-45f2-afa7-2d5e089a96a5-->9f8e407a-996d-4f0e-925a-fb70a6f35d29,3
77e10418-2b0f-45f2-afa7-2d5e089a96a5,a725a044-b518-4743-b27f-8b0275471543,77e10418-2b0f-45f2-afa7-2d5e089a96a5-->a725a044-b518-4743-b27f-8b0275471543,3
db010aeb-3f99-4a88-8db4-9df72e29efd0,a83797f9-5440-43c2-b0a5-41f1c4027e67,db010aeb-3f99-4a88-8db4-9df72e29efd0-->a83797f9-5440-43c2-b0a5-41f1c4027e67,3
db010aeb-3f99-4a88-8db4-9df72e29efd0,ab07c670-df4b-4069-921e-f8814b6a0c94,db010aeb-3f99-4a88-8db4-9df72e29efd0-->ab07c670-df4b-4069-921e-f8814b6a0c94,3
7e36b821-5094-4421-8784-4c97a03e8a06,ae3ae14b-4a3e-40d3-8f77-9f280199855c,7e36b821-5094-4421-8784-4c97a03e8a06-->ae3ae14b-4a3e-40d3-8f77-9f280199855c,3
f5814caf-42ea-4ba9-a3fd-acdd1895cde0,ae504452-4da3-4605-8eb6-c8cb5659c61e,f5814caf-42ea-4ba9-a3fd-acdd1895cde0-->ae504452-4da3-4605-8eb6-c8cb5659c61e,3
db010aeb-3f99-4a88-8db4-9df72e29efd0,b0ba2676-cbfa-4324-a485-3275a903b2dd,db010aeb-3f99-4a88-8db4-9df72e29efd0-->b0ba2676-cbfa-4324-a485-3275a903b2dd,3
db010aeb-3f99-4a88-8db4-9df72e29efd0,b1398c05-c0b0-4abe-89d1-d2f07afe9411,db010aeb-3f99-4a88-8db4-9df72e29efd0-->b1398c05-c0b0-4abe-89d1-d2f07afe9411,3
77e10418-2b0f-45f2-afa7-2d5e089a96a5,b6eeee0d-e471-4aa9-9ab5-e95037091cd0,77e10418-2b0f-45f2-afa7-2d5e089a96a5-->b6eeee0d-e471-4aa9-9ab5-e95037091cd0,3
db010aeb-3f99-4a88-8db4-9df72e29efd0,b990f51b-344a-4c7f-8298-8438619a37ce,db010aeb-3f99-4a88-8db4-9df72e29efd0-->b990f51b-344a-4c7f-8298-8438619a37ce,3
77e10418-2b0f-45f2-afa7-2d5e089a96a5,bb009f69-136c-4cb3-8b51-ffa2a3f2d9be,77e10418-2b0f-45f2-afa7-2d5e089a96a5-->bb009f69-136c-4cb3-8b51-ffa2a3f2d9be,3
db010aeb-3f99-4a88-8db4-9df72e29efd0,bb8fe4ce-fc82-4855-a34e-e831e3c1bb92,db010aeb-3f99-4a88-8db4-9df72e29efd0-->bb8fe4ce-fc82-4855-a34e-e831e3c1bb92,3
77e10418-2b0f-45f2-afa7-2d5e089a96a5,bcf8ce79-35da-4848-bf7a-aff7b6195854,77e10418-2b0f-45f2-afa7-2d5e089a96a5-->bcf8ce79-35da-4848-bf7a-aff7b6195854,3
db010aeb-3f99-4a88-8db4-9df72e29efd0,c0d4af76-7a1c-4912-be43-17e4ca546d30,db010aeb-3f99-4a88-8db4-9df72e29efd0-->c0d4af76-7a1c-4912-be43-17e4ca546d30,3
